Using device: cuda
M=1 detected: Skipping optimization and uniformization.
-------------------- Summary M=1 --------------------
  Condition: Initial: 1.00 | Optimized: 1.00 | Uniform: 1.0000
  Density:   Initial: 0.1410 | Optimized: 0.1410 | Uniform: 0.1410

Starting Optimization M=2 | Initial Cond: 2.81 | Initial Density: 0.1329
Iter: 1480 | Dens: 0.2075 | Best Dens: 0.2081 | Status: 2/2000
Iter: 1500 | Dens: 0.2085 | Best Dens: 0.2085 | Status: 0/2000
Iter: 1520 | Dens: 0.2083 | Best Dens: 0.2086 | Status: 4/2000
Iter: 1540 | Dens: 0.2093 | Best Dens: 0.2095 | Status: 2/2000
Iter: 1560 | Dens: 0.2085 | Best Dens: 0.2097 | Status: 4/2000
Iter: 1580 | Dens: 0.2105 | Best Dens: 0.2108 | Status: 13/2000
Iter: 1600 | Dens: 0.2104 | Best Dens: 0.2111 | Status: 2/2000
Iter: 1620 | Dens: 0.2117 | Best Dens: 0.2118 | Status: 2/2000
Iter: 1640 | Dens: 0.2107 | Best Dens: 0.2119 | Status: 10/2000
Iter: 1660 | Dens: 0.2123 | Best Dens: 0.2123 | Status: 7/2000
Iter: 1680 | Dens: 0.2121 | Best Dens: 0.2124 | Status: 6/2000
Iter: 1700 | Dens: 0.2124 | Best Dens: 0.2130 | Status: 3/2000
Iter: 1720 | Dens: 0.2133 | Best Dens: 0.2133 | Status: 0/2000
Iter: 1740 | Dens: 0.2131 | Best Dens: 0.2136 | Status: 5/2000
Iter: 1760 | Dens: 0.2147 | Best Dens: 0.2149 | Status: 12/2000
Iter: 1780 | Dens: 0.2142 | Best Dens: 0.2150 | Status: 7/2000
Iter: 1800 | Dens: 0.2148 | Best Dens: 0.2153 | Status: 1/2000
Iter: 1820 | Dens: 0.2147 | Best Dens: 0.2153 | Status: 1/2000
Iter: 1840 | Dens: 0.2142 | Best Dens: 0.2154 | Status: 2/2000
Iter: 1860 | Dens: 0.2148 | Best Dens: 0.2154 | Status: 22/2000
Iter: 1880 | Dens: 0.2152 | Best Dens: 0.2156 | Status: 4/2000
Iter: 1900 | Dens: 0.2147 | Best Dens: 0.2156 | Status: 24/2000
Iter: 1920 | Dens: 0.2154 | Best Dens: 0.2159 | Status: 6/2000
Iter: 1940 | Dens: 0.2158 | Best Dens: 0.2162 | Status: 7/2000
